ID,name,deadline,type,data_size_GB,RAM_requirement_GB,working_units
T1112,Alexander,2022-05-21 03:00:00,GPU,140,8,580
T1113,Oliver,2022-05-31 08:00:00,GPU,135,32,670
T1114,Alan,2022-05-15 22:00:00,CPU,65,8,745
T1115,Jared,2022-05-19 20:00:00,CPU,135,128,1035
T1116,Lucia,2022-05-17 23:00:00,CPU,80,128,640
T1117,Jordan,2022-05-31 03:00:00,CPU,80,16,715
T1118,Florrie,2022-05-31 21:00:00,GPU,130,8,465
T1119,James,2022-05-19 11:00:00,CPU,145,8,560
T1120,Kellan,2022-05-15 00:00:00,GPU,65,64,310
T1121,Edwin,2022-05-23 21:00:00,GPU,145,64,1005
T1122,Michael,2022-05-21 11:00:00,GPU,125,128,1060
T1123,Tess,2022-05-24 17:00:00,CPU,60,128,1165
T1124,Lenny,2022-05-27 04:00:00,CPU,50,64,1080
T1125,Michael,2022-05-28 16:00:00,GPU,80,8,540
T1126,Ryan,2022-05-20 11:00:00,GPU,100,16,1195
T1127,Tess,2022-05-21 21:00:00,GPU,130,16,450
T1128,Samantha,2022-05-27 23:00:00,CPU,70,32,990
T1129,Edward,2022-05-17 22:00:00,GPU,135,128,980
T1130,Alan,2022-05-27 05:00:00,CPU,110,8,1005
T1131,David,2022-05-19 23:00:00,CPU,95,32,485
T1132,Stuart,2022-05-16 17:00:00,CPU,75,128,795
T1133,Edwin,2022-05-23 00:00:00,CPU,135,16,1045
T1134,Camila,2022-05-24 10:00:00,CPU,130,64,1135
T1135,Chloe,2022-05-31 02:00:00,GPU,135,8,1120
T1136,Byron,2022-05-26 19:00:00,CPU,115,8,585
T1137,Paul,2022-05-27 04:00:00,CPU,85,64,1015
T1138,Aida,2022-05-19 14:00:00,CPU,70,32,525
T1139,Leonardo,2022-05-23 02:00:00,CPU,60,16,945
T1140,Daisy,2022-05-23 11:00:00,GPU,135,16,1045
T1141,Rubie,2022-05-23 05:00:00,CPU,55,8,290
T1142,Ellia,2022-05-19 19:00:00,CPU,100,32,885
T1143,Edwin,2022-05-29 10:00:00,CPU,115,64,290
T1144,Marcus,2022-05-18 09:00:00,CPU,80,16,595
T1145,Honey,2022-05-28 18:00:00,GPU,135,16,275
T1146,Nicole,2022-05-15 04:00:00,CPU,105,32,630
T1147,Violet,2022-05-18 20:00:00,CPU,75,16,315
T1148,Nicole,2022-05-29 01:00:00,GPU,60,16,750
T1149,Sophia,2022-05-28 12:00:00,GPU,140,16,390
T1150,Stuart,2022-05-23 12:00:00,CPU,90,8,1025
T1151,Agata,2022-05-18 06:00:00,CPU,140,8,690
T1152,Abraham,2022-05-17 16:00:00,CPU,85,16,1005
T1153,Aida,2022-05-16 05:00:00,CPU,145,32,680
T1154,Paul,2022-05-22 08:00:00,CPU,100,8,755
T1155,Darcy,2022-05-29 03:00:00,GPU,150,8,525
T1156,Aida,2022-05-21 17:00:00,GPU,60,64,870
T1157,Rafael,2022-05-21 23:00:00,CPU,55,64,1185
T1158,Kellan,2022-05-20 04:00:00,GPU,140,8,750
T1159,James,2022-05-19 09:00:00,GPU,80,8,690
T1160,Camila,2022-05-18 13:00:00,GPU,50,32,1185
T1161,Aston,2022-05-15 06:00:00,GPU,100,128,955
T1162,Stuart,2022-05-21 07:00:00,CPU,120,128,1100
T1163,Kellan,2022-05-27 00:00:00,CPU,80,32,650
T1164,Dainton,2022-05-31 22:00:00,GPU,100,128,1090
T1165,Julian,2022-05-31 02:00:00,GPU,100,32,760
T1166,Amelia,2022-05-15 07:00:00,CPU,110,64,1200
T1167,Julia,2022-05-28 00:00:00,CPU,140,16,520
T1168,Paul,2022-05-27 04:00:00,GPU,140,32,1250
T1169,Madaline,2022-05-23 20:00:00,CPU,70,32,970
T1170,Rafael,2022-05-28 10:00:00,GPU,150,32,475
T1171,Kristian,2022-05-30 08:00:00,GPU,70,8,965
T1172,Walter,2022-05-17 12:00:00,GPU,105,64,615
T1173,John,2022-05-27 04:00:00,GPU,145,128,785
T1174,Kellan,2022-05-24 19:00:00,GPU,145,128,995
T1175,Rosie,2022-05-19 22:00:00,GPU,125,64,1005
T1176,Edwin,2022-05-22 05:00:00,CPU,110,16,1085
T1177,Harold,2022-05-19 21:00:00,CPU,60,128,800
T1178,Dexter,2022-05-25 14:00:00,CPU,125,8,1050
T1179,Madaline,2022-05-30 04:00:00,CPU,50,64,875
T1180,Adele,2022-05-22 00:00:00,GPU,135,32,670
T1181,Michelle,2022-05-20 19:00:00,CPU,60,64,765
T1182,Alfred,2022-05-21 22:00:00,CPU,100,16,920
T1183,Oliver,2022-05-24 15:00:00,GPU,50,16,1045
T1184,Sydney,2022-05-28 23:00:00,GPU,100,16,330
T1185,Emily,2022-05-31 07:00:00,CPU,55,8,795
T1186,Maddie,2022-05-15 20:00:00,GPU,135,64,300
T1187,Abigail,2022-05-16 10:00:00,CPU,140,16,835
T1188,John,2022-05-19 19:00:00,CPU,115,128,755
T1189,Ellia,2022-05-31 15:00:00,GPU,140,32,555
T1190,Arthur,2022-05-28 15:00:00,GPU,80,8,635
T1191,Maddie,2022-05-26 01:00:00,CPU,115,8,735
T1192,Julian,2022-05-27 10:00:00,GPU,140,16,870
T1193,Emma,2022-05-30 23:00:00,CPU,115,8,765
T1194,Alexander,2022-05-25 12:00:00,GPU,135,16,1085
T1195,Maya,2022-05-19 12:00:00,CPU,120,64,405
T1196,Henry,2022-05-26 22:00:00,GPU,95,128,1215
T1197,Alan,2022-05-27 20:00:00,CPU,95,32,355
T1198,Florrie,2022-05-25 11:00:00,GPU,140,128,465
T1199,Rosie,2022-05-18 03:00:00,GPU,60,64,510
T1200,Isabella,2022-05-31 18:00:00,CPU,105,32,635
T1201,Stuart,2022-05-23 12:00:00,CPU,100,32,500
T1202,John,2022-05-16 08:00:00,GPU,135,16,740
T1203,Dexter,2022-05-19 06:00:00,GPU,50,8,855
T1204,Kellan,2022-05-17 04:00:00,CPU,55,8,695
T1205,Abraham,2022-05-30 15:00:00,CPU,130,8,345
T1206,Chester,2022-05-22 08:00:00,GPU,95,16,805
T1207,Derek,2022-05-15 04:00:00,CPU,120,8,495
T1208,Valeria,2022-05-22 12:00:00,CPU,105,64,595
T1209,Kellan,2022-05-18 10:00:00,CPU,120,32,1050
T1210,Carlos,2022-05-27 19:00:00,CPU,120,64,510
T1211,Lucia,2022-05-28 04:00:00,GPU,115,128,640
T1212,Julia,2022-05-22 16:00:00,CPU,125,32,855
T1213,Garry,2022-05-29 22:00:00,GPU,110,128,635
T1214,Sienna,2022-05-16 23:00:00,CPU,50,32,575
T1215,Chester,2022-05-23 14:00:00,GPU,85,32,880
T1216,Connie,2022-05-24 02:00:00,CPU,75,64,295
T1217,Sydney,2022-05-31 22:00:00,GPU,140,64,740
T1218,Carlos,2022-05-27 00:00:00,CPU,140,32,455
T1219,Carlos,2022-05-17 17:00:00,GPU,140,128,985
T1220,Rosie,2022-05-19 09:00:00,GPU,110,64,840
T1221,Florrie,2022-05-28 17:00:00,CPU,95,16,460
T1222,Wilson,2022-05-23 11:00:00,GPU,70,8,1115
T1223,Penelope,2022-05-19 08:00:00,CPU,130,8,275
T1224,Marcus,2022-05-27 20:00:00,CPU,110,32,900
T1225,Tyler,2022-05-22 19:00:00,CPU,70,128,510
T1226,Hailey,2022-05-26 21:00:00,GPU,80,128,360
T1227,Natalie,2022-05-31 02:00:00,CPU,105,16,1185
T1228,Maddie,2022-05-30 07:00:00,GPU,140,16,425
T1229,Rosie,2022-05-30 05:00:00,GPU,135,32,765
T1230,Jacob,2022-05-28 03:00:00,CPU,145,16,665
T1231,Deanna,2022-05-30 17:00:00,CPU,105,64,755
T1232,Vivian,2022-05-29 05:00:00,GPU,75,8,885
T1233,Tess,2022-05-22 05:00:00,GPU,65,128,320
T1234,Arthur,2022-05-27 10:00:00,GPU,90,8,515
T1235,Jenna,2022-05-21 10:00:00,GPU,95,128,1180
T1236,Leonardo,2022-05-21 05:00:00,GPU,100,16,540
T1237,Agata,2022-05-29 00:00:00,CPU,135,8,250
T1238,Alberta,2022-05-17 06:00:00,GPU,70,8,700
T1239,Nicholas,2022-05-21 07:00:00,CPU,95,128,370
T1240,Deanna,2022-05-29 15:00:00,GPU,85,64,1200
T1241,Camila,2022-05-19 22:00:00,GPU,70,8,565
T1242,Maddie,2022-05-18 04:00:00,CPU,130,16,490
T1243,Alberta,2022-05-17 17:00:00,GPU,110,16,1165
T1244,Florrie,2022-05-23 19:00:00,GPU,105,16,425
T1245,Lydia,2022-05-26 18:00:00,GPU,70,32,310
T1246,Lucy,2022-05-19 08:00:00,CPU,60,8,1075
T1247,Hailey,2022-05-29 11:00:00,CPU,80,128,770
T1248,Agata,2022-05-30 05:00:00,GPU,70,32,1235
T1249,Alen,2022-05-25 23:00:00,GPU,55,8,1210
T1250,Oliver,2022-05-30 16:00:00,CPU,65,8,795
T1251,Kellan,2022-05-20 18:00:00,CPU,115,128,975
T1252,Elise,2022-05-30 21:00:00,CPU,95,64,1140
T1253,Fenton,2022-05-16 07:00:00,CPU,110,128,960
T1254,Hailey,2022-05-22 18:00:00,CPU,95,8,355
T1255,Michael,2022-05-17 04:00:00,GPU,90,128,1155
T1256,Blake,2022-05-23 06:00:00,GPU,135,64,1205
T1257,Vivian,2022-05-23 06:00:00,GPU,105,16,1180
T1258,Daryl,2022-05-29 07:00:00,CPU,150,16,600
T1259,Rafael,2022-05-16 12:00:00,GPU,100,32,1175
T1260,James,2022-05-22 10:00:00,CPU,135,8,320
T1261,John,2022-05-18 05:00:00,CPU,65,8,790
T1262,Maddie,2022-05-23 17:00:00,GPU,130,8,1095
T1263,Alexander,2022-05-25 04:00:00,CPU,85,128,490
T1264,Vivian,2022-05-16 08:00:00,GPU,145,16,580
T1265,Violet,2022-05-24 06:00:00,GPU,135,64,440
T1266,Eleanor,2022-05-24 14:00:00,GPU,95,16,325
T1267,Kelsey,2022-05-31 05:00:00,GPU,150,64,620
T1268,Alissa,2022-05-23 14:00:00,GPU,150,64,835
T1269,Jacob,2022-05-23 06:00:00,GPU,145,128,525
T1270,Vivian,2022-05-31 15:00:00,GPU,90,32,1115
T1271,Florrie,2022-05-30 08:00:00,GPU,150,32,265
T1272,Jasmine,2022-05-31 03:00:00,GPU,135,16,1030
T1273,Melanie,2022-05-27 01:00:00,GPU,85,16,1180
T1274,Alexia,2022-05-28 04:00:00,CPU,90,16,770
T1275,Myra,2022-05-16 02:00:00,GPU,150,128,1140
T1276,Kelvin,2022-05-20 20:00:00,CPU,90,32,825
T1277,Richard,2022-05-24 22:00:00,CPU,105,16,1040
T1278,Michelle,2022-05-26 03:00:00,CPU,100,128,780
T1279,Leonardo,2022-05-26 19:00:00,CPU,50,16,685
T1280,Alexander,2022-05-16 06:00:00,CPU,150,32,1240
T1281,Vivian,2022-05-25 07:00:00,CPU,60,128,455
T1282,Carlos,2022-05-15 16:00:00,GPU,80,32,550
T1283,Wilson,2022-05-26 20:00:00,GPU,60,8,650
T1284,Carlos,2022-05-18 20:00:00,CPU,70,32,1095
T1285,Emily,2022-05-19 05:00:00,CPU,110,128,610
T1286,Eleanor,2022-05-18 19:00:00,GPU,125,16,630
T1287,Tess,2022-05-26 05:00:00,GPU,80,32,305
T1288,Sydney,2022-05-30 16:00:00,GPU,65,32,490
T1289,Harold,2022-05-28 01:00:00,CPU,95,32,1240
T1290,Valeria,2022-05-30 01:00:00,GPU,50,32,475
T1291,Rosie,2022-05-15 03:00:00,GPU,50,64,980
T1292,Kellan,2022-05-31 04:00:00,GPU,125,8,350
T1293,Tess,2022-05-26 22:00:00,CPU,80,32,525
T1294,Stuart,2022-05-24 09:00:00,GPU,145,128,250
T1295,Dainton,2022-05-26 00:00:00,CPU,135,8,565
T1296,Nicholas,2022-05-29 19:00:00,CPU,65,8,445
T1297,Chester,2022-05-17 23:00:00,CPU,130,8,415
T1298,Amber,2022-05-15 23:00:00,GPU,125,32,685
T1299,Connie,2022-05-31 00:00:00,CPU,105,16,590
T1300,Valeria,2022-05-21 07:00:00,GPU,50,128,840
T1301,Alexander,2022-05-22 11:00:00,CPU,50,32,980
T1302,Maddie,2022-05-31 15:00:00,GPU,130,32,580
T1303,Alan,2022-05-30 16:00:00,CPU,90,64,705
T1304,Kellan,2022-05-26 14:00:00,CPU,120,128,1030
T1305,Eric,2022-05-23 12:00:00,CPU,85,64,620
T1306,David,2022-05-26 01:00:00,CPU,125,128,1180
T1307,Alexander,2022-05-27 04:00:00,CPU,50,8,465
T1308,Edwin,2022-05-25 11:00:00,GPU,125,16,520
T1309,Lucia,2022-05-30 11:00:00,GPU,145,16,1155
T1310,Sarah,2022-05-28 06:00:00,CPU,120,32,1070
T1311,Julian,2022-05-25 21:00:00,CPU,115,128,290
T1312,Sarah,2022-05-24 08:00:00,GPU,95,128,515
T1313,Sam,2022-05-15 04:00:00,GPU,65,8,600
T1314,Carlos,2022-05-26 05:00:00,GPU,115,128,440
T1315,Deanna,2022-05-26 03:00:00,GPU,50,32,655
T1316,Michelle,2022-05-25 19:00:00,GPU,135,128,595
T1317,Audrey,2022-05-29 09:00:00,CPU,135,64,680
T1318,Nicole,2022-05-20 07:00:00,GPU,60,32,1035
T1319,Chester,2022-05-20 00:00:00,GPU,140,16,1195
T1320,Maddie,2022-05-31 03:00:00,CPU,150,128,1020
T1321,Hailey,2022-05-21 23:00:00,GPU,145,64,425
T1322,Michael,2022-05-19 05:00:00,GPU,140,8,700
T1323,Leonardo,2022-05-19 23:00:00,GPU,70,8,805
T1324,Isabella,2022-05-19 21:00:00,CPU,60,64,1140
T1325,Chester,2022-05-23 04:00:00,GPU,150,8,945
T1326,Mary,2022-05-19 20:00:00,CPU,130,32,795
T1327,Ryan,2022-05-29 11:00:00,CPU,105,16,700
T1328,Oliver,2022-05-21 00:00:00,CPU,95,32,445
T1329,James,2022-05-19 14:00:00,GPU,135,8,875
T1330,Nicholas,2022-05-17 16:00:00,GPU,60,8,590
T1331,Kellan,2022-05-29 04:00:00,CPU,55,32,510
T1332,Sophia,2022-05-16 15:00:00,CPU,140,32,1125
T1333,Rosie,2022-05-17 00:00:00,CPU,95,16,390
T1334,Tess,2022-05-21 22:00:00,GPU,80,16,600
T1335,Sabrina,2022-05-25 04:00:00,CPU,55,16,645
T1336,Kelsey,2022-05-28 16:00:00,GPU,140,8,440
T1337,Stuart,2022-05-31 01:00:00,CPU,120,128,315
T1338,Agata,2022-05-23 06:00:00,CPU,70,32,460
T1339,Edwin,2022-05-26 03:00:00,CPU,150,8,300
T1340,Kellan,2022-05-31 21:00:00,GPU,130,32,1180
T1341,Samantha,2022-05-28 16:00:00,CPU,150,16,555
T1342,Kellan,2022-05-27 20:00:00,CPU,55,128,935
T1343,Valeria,2022-05-22 04:00:00,CPU,75,8,1235
T1344,Edgar,2022-05-15 21:00:00,CPU,95,64,810
T1345,Tess,2022-05-16 00:00:00,CPU,135,64,1110
T1346,Eric,2022-05-20 02:00:00,CPU,50,128,960
T1347,Kate,2022-05-19 18:00:00,GPU,110,32,755
T1348,James,2022-05-17 04:00:00,GPU,60,128,635
T1349,Sarah,2022-05-26 19:00:00,CPU,85,32,255
T1350,Honey,2022-05-26 16:00:00,GPU,125,64,635
T1351,Maddie,2022-05-27 04:00:00,GPU,80,128,1005
T1352,Byron,2022-05-19 19:00:00,GPU,130,32,865
T1353,Tess,2022-05-18 05:00:00,CPU,75,32,1165
T1354,Chester,2022-05-25 01:00:00,GPU,85,32,1140
T1355,Lucy,2022-05-23 14:00:00,GPU,105,32,380
T1356,Derek,2022-05-25 05:00:00,CPU,100,128,360
T1357,Walter,2022-05-21 14:00:00,GPU,140,16,785
T1358,Lucas,2022-05-27 23:00:00,GPU,75,16,900
T1359,Violet,2022-05-20 00:00:00,GPU,100,64,375
T1360,Blake,2022-05-17 08:00:00,CPU,85,8,620
T1361,Garry,2022-05-23 14:00:00,CPU,130,32,1175
T1362,Amelia,2022-05-29 03:00:00,CPU,110,128,390
T1363,Natalie,2022-05-23 04:00:00,CPU,105,8,435
T1364,Briony,2022-05-19 10:00:00,CPU,120,128,1225
T1365,Alexander,2022-05-23 06:00:00,GPU,55,8,1015
T1366,Alexander,2022-05-30 20:00:00,CPU,150,128,925
T1367,Caroline,2022-05-18 18:00:00,CPU,70,8,1130
T1368,Sophia,2022-05-21 07:00:00,CPU,105,128,615
T1369,Lucia,2022-05-15 15:00:00,GPU,90,8,900
T1370,Mary,2022-05-31 19:00:00,CPU,80,8,1100
T1371,Rafael,2022-05-29 13:00:00,GPU,50,8,555
T1372,Rosie,2022-05-21 16:00:00,GPU,70,128,725
T1373,Alexia,2022-05-16 13:00:00,GPU,80,128,820
T1374,Edwin,2022-05-30 10:00:00,CPU,110,16,1110
T1375,Myra,2022-05-21 23:00:00,CPU,90,128,1075
T1376,Lucas,2022-05-22 18:00:00,CPU,135,128,1090
T1377,Hailey,2022-05-22 06:00:00,CPU,90,64,760
T1378,Emma,2022-05-15 22:00:00,GPU,130,64,1130
T1379,Kelvin,2022-05-19 21:00:00,CPU,65,128,910
T1380,Sienna,2022-05-28 17:00:00,GPU,145,128,730
T1381,Aston,2022-05-26 00:00:00,GPU,85,128,580
T1382,Camila,2022-05-27 17:00:00,GPU,110,16,670
T1383,Alan,2022-05-17 03:00:00,GPU,145,8,605
T1384,Alan,2022-05-31 23:00:00,GPU,85,32,850
T1385,Byron,2022-05-22 09:00:00,CPU,130,128,870
T1386,Michelle,2022-05-16 18:00:00,GPU,50,8,545
T1387,Daryl,2022-05-31 15:00:00,CPU,65,32,1165
T1388,Rosie,2022-05-15 08:00:00,CPU,140,8,865
T1389,Michael,2022-05-23 08:00:00,GPU,75,8,785
T1390,Emma,2022-05-30 19:00:00,GPU,80,128,490
T1391,Ellia,2022-05-27 17:00:00,GPU,105,32,580
T1392,Ashton,2022-05-20 11:00:00,GPU,100,8,680
T1393,Vivian,2022-05-28 03:00:00,GPU,105,128,1040
T1394,Kellan,2022-05-31 17:00:00,CPU,120,32,495
T1395,Tess,2022-05-28 04:00:00,CPU,95,8,520
T1396,Agata,2022-05-29 07:00:00,CPU,80,8,915
T1397,Kate,2022-05-19 14:00:00,CPU,110,128,465
T1398,Kelvin,2022-05-18 10:00:00,CPU,90,8,1205
T1399,Alfred,2022-05-26 12:00:00,GPU,55,64,1200
T1400,Elise,2022-05-22 11:00:00,GPU,120,8,545
T1401,Deanna,2022-05-25 09:00:00,CPU,100,8,465
T1402,Audrey,2022-05-19 13:00:00,CPU,60,128,365
T1403,Arthur,2022-05-19 21:00:00,GPU,110,64,715
T1404,Melanie,2022-05-30 16:00:00,CPU,130,8,285
T1405,Maddie,2022-05-29 19:00:00,GPU,140,64,520
T1406,Tyler,2022-05-21 07:00:00,GPU,125,128,915
T1407,Abraham,2022-05-15 11:00:00,GPU,90,64,310
T1408,Mary,2022-05-21 20:00:00,CPU,80,16,1240
T1409,Kelvin,2022-05-19 17:00:00,GPU,110,64,1025
T1410,Kellan,2022-05-20 01:00:00,CPU,110,64,345
T1411,Caroline,2022-05-18 18:00:00,CPU,125,32,250
T1412,Lucia,2022-05-30 18:00:00,GPU,115,128,655
T1413,Aiden,2022-05-31 02:00:00,GPU,80,16,620
T1414,Caroline,2022-05-17 23:00:00,CPU,110,32,1130
T1415,Vivian,2022-05-23 12:00:00,GPU,100,128,460
T1416,Hailey,2022-05-21 00:00:00,GPU,85,8,545
T1417,Kellan,2022-05-25 06:00:00,GPU,130,32,420
T1418,Walter,2022-05-31 05:00:00,GPU,75,16,620
T1419,Penelope,2022-05-28 23:00:00,GPU,140,8,435
T1420,Kate,2022-05-16 07:00:00,GPU,80,32,620
T1421,Jenna,2022-05-31 15:00:00,GPU,50,16,530
T1422,Dainton,2022-05-17 02:00:00,CPU,140,128,355
T1423,Rafael,2022-05-25 06:00:00,GPU,50,8,455
T1424,Patrick,2022-05-26 11:00:00,GPU,75,32,340
T1425,Nicholas,2022-05-25 08:00:00,GPU,105,64,325
T1426,Stuart,2022-05-17 11:00:00,CPU,135,32,1065
T1427,Alexander,2022-05-20 08:00:00,CPU,80,32,790
T1428,Harold,2022-05-17 22:00:00,GPU,50,64,330
T1429,Arthur,2022-05-22 01:00:00,GPU,50,16,510
T1430,Byron,2022-05-27 13:00:00,CPU,120,32,695
T1431,Arthur,2022-05-25 19:00:00,GPU,130,8,375
T1432,Jacob,2022-05-27 04:00:00,CPU,140,64,720
T1433,Harold,2022-05-27 15:00:00,GPU,100,64,765
T1434,Alexander,2022-05-28 03:00:00,GPU,110,16,1085
T1435,Oliver,2022-05-24 22:00:00,GPU,85,64,655
T1436,Rafael,2022-05-21 01:00:00,GPU,145,64,915
T1437,Alan,2022-05-25 08:00:00,GPU,115,128,315
T1438,Sienna,2022-05-29 04:00:00,CPU,55,8,1170
T1439,Emma,2022-05-26 12:00:00,GPU,145,8,1220
T1440,Alexander,2022-05-18 04:00:00,CPU,110,8,610
T1441,Tess,2022-05-29 20:00:00,GPU,65,16,1010
T1442,Abraham,2022-05-19 03:00:00,GPU,135,32,290
T1443,Alina,2022-05-25 22:00:00,GPU,125,32,1160
T1444,Ryan,2022-05-25 04:00:00,GPU,145,16,440
T1445,Alexander,2022-05-15 03:00:00,CPU,60,128,660
T1446,Paul,2022-05-28 02:00:00,CPU,140,64,795
T1447,Vivian,2022-05-24 09:00:00,CPU,55,64,290
T1448,Hailey,2022-05-15 11:00:00,CPU,145,32,1200
T1449,Myra,2022-05-20 17:00:00,CPU,145,128,1185
T1450,Nicole,2022-05-29 18:00:00,CPU,65,16,580
T1451,Lydia,2022-05-30 17:00:00,CPU,70,32,785
T1452,Maddie,2022-05-25 10:00:00,CPU,95,8,800
T1453,Albert,2022-05-26 00:00:00,GPU,115,128,445
T1454,Isabella,2022-05-17 01:00:00,GPU,130,128,760
T1455,Alen,2022-05-16 08:00:00,CPU,145,32,925
T1456,Harold,2022-05-30 05:00:00,GPU,70,32,500
T1457,Elian,2022-05-22 03:00:00,GPU,90,128,395
T1458,Lydia,2022-05-17 03:00:00,GPU,140,128,1030
T1459,Edwin,2022-05-26 09:00:00,CPU,125,64,1170
T1460,Arthur,2022-05-15 18:00:00,GPU,150,128,575
T1461,Jenna,2022-05-18 03:00:00,CPU,125,8,1050
T1462,Dainton,2022-05-18 02:00:00,CPU,80,32,800
T1463,Ellia,2022-05-22 05:00:00,CPU,150,32,650
T1464,Eleanor,2022-05-21 01:00:00,CPU,95,64,465
T1465,Maddie,2022-05-18 05:00:00,GPU,70,16,375
T1466,Alexander,2022-05-17 11:00:00,CPU,85,64,815
T1467,Jacob,2022-05-31 14:00:00,CPU,100,16,560
T1468,Elian,2022-05-20 16:00:00,GPU,130,128,275
T1469,Dainton,2022-05-23 18:00:00,CPU,80,128,700
T1470,Jordan,2022-05-28 19:00:00,CPU,130,16,520
T1471,Melanie,2022-05-25 05:00:00,GPU,90,16,585
T1472,Julian,2022-05-28 01:00:00,GPU,125,16,435
T1473,Nicholas,2022-05-24 01:00:00,CPU,70,32,710
T1474,Tyler,2022-05-17 07:00:00,CPU,125,8,785
T1475,Daryl,2022-05-27 00:00:00,GPU,115,32,250
T1476,Sabrina,2022-05-16 10:00:00,GPU,145,128,870
T1477,Deanna,2022-05-19 11:00:00,GPU,70,128,910
T1478,Lucy,2022-05-23 17:00:00,GPU,95,32,945
T1479,Stuart,2022-05-18 06:00:00,GPU,60,128,1055
T1480,James,2022-05-22 19:00:00,CPU,60,32,695
T1481,Byron,2022-05-15 05:00:00,CPU,70,32,1060
T1482,Ryan,2022-05-24 05:00:00,CPU,65,16,1235
T1483,Rafael,2022-05-17 19:00:00,GPU,80,8,815
T1484,Nicole,2022-05-23 08:00:00,GPU,130,128,1065
T1485,Kelsey,2022-05-30 04:00:00,GPU,100,32,270
T1486,Alberta,2022-05-26 08:00:00,CPU,85,16,915
T1487,Derek,2022-05-20 02:00:00,CPU,135,8,615
T1488,Samantha,2022-05-16 06:00:00,GPU,95,32,850
T1489,Tyler,2022-05-20 05:00:00,GPU,60,16,600
T1490,Alford,2022-05-31 04:00:00,GPU,80,32,860
T1491,Albert,2022-05-20 14:00:00,GPU,110,64,330
T1492,Violet,2022-05-19 10:00:00,CPU,140,16,405
T1493,Byron,2022-05-27 17:00:00,CPU,50,128,875
T1494,Emma,2022-05-21 02:00:00,GPU,50,8,1175
T1495,Kelvin,2022-05-19 14:00:00,CPU,95,32,885
T1496,Julian,2022-05-21 13:00:00,CPU,60,128,330
T1497,Paul,2022-05-20 10:00:00,CPU,105,32,1140
T1498,Kellan,2022-05-31 12:00:00,CPU,105,64,535
T1499,Kellan,2022-05-23 17:00:00,CPU,85,128,660
T1500,David,2022-05-27 17:00:00,CPU,65,8,285
T1501,Nicole,2022-05-31 22:00:00,GPU,115,8,930
T1502,Madaline,2022-05-16 09:00:00,CPU,50,8,965
T1503,Arianna,2022-05-30 19:00:00,CPU,100,64,525
T1504,Lucy,2022-05-31 21:00:00,GPU,65,8,500
T1505,Robert,2022-05-20 14:00:00,GPU,90,32,375
T1506,Kellan,2022-05-29 22:00:00,GPU,60,32,1250
T1507,Arianna,2022-05-17 11:00:00,GPU,80,128,665
T1508,Maddie,2022-05-19 14:00:00,GPU,145,8,875
T1509,Dexter,2022-05-30 20:00:00,GPU,110,8,585
T1510,Stuart,2022-05-24 11:00:00,GPU,50,128,330
T1511,Sam,2022-05-18 04:00:00,GPU,95,64,1020
T1512,Luke,2022-05-30 23:00:00,GPU,130,8,1105
T1513,Deanna,2022-05-17 22:00:00,CPU,80,16,990
T1514,Chloe,2022-05-16 19:00:00,GPU,70,128,1105
T1515,Sophia,2022-05-23 03:00:00,CPU,50,64,485
T1516,Albert,2022-05-29 22:00:00,GPU,90,128,460
T1517,Samantha,2022-05-16 06:00:00,GPU,95,8,465
T1518,Alen,2022-05-17 11:00:00,CPU,140,64,1060
T1519,Ellia,2022-05-25 18:00:00,CPU,70,128,880
T1520,Julian,2022-05-31 01:00:00,CPU,105,8,785
T1521,Rafael,2022-05-29 02:00:00,GPU,115,16,1030
T1522,Myra,2022-05-30 11:00:00,CPU,130,128,705
T1523,Hailey,2022-05-31 07:00:00,CPU,150,32,255
T1524,Emily,2022-05-29 18:00:00,GPU,110,32,785
T1525,Abraham,2022-05-23 20:00:00,GPU,135,16,400
T1526,Penelope,2022-05-20 23:00:00,CPU,50,128,670
T1527,Myra,2022-05-23 03:00:00,GPU,95,64,1180
T1528,Byron,2022-05-17 14:00:00,CPU,100,64,1215
T1529,Sydney,2022-05-18 23:00:00,CPU,60,128,405
T1530,Marcus,2022-05-18 06:00:00,CPU,55,32,450
T1531,Paul,2022-05-31 00:00:00,GPU,60,64,560
T1532,Thomas,2022-05-19 09:00:00,CPU,70,32,930
T1533,Alexander,2022-05-30 05:00:00,CPU,125,64,945
T1534,Mary,2022-05-18 21:00:00,CPU,115,16,1025
T1535,Florrie,2022-05-28 01:00:00,CPU,55,128,1140
T1536,Abraham,2022-05-18 20:00:00,GPU,95,32,860
T1537,Alford,2022-05-19 20:00:00,CPU,120,32,620
T1538,David,2022-05-27 19:00:00,CPU,55,64,890
T1539,Myra,2022-05-25 20:00:00,GPU,50,32,530
T1540,Robert,2022-05-22 02:00:00,CPU,135,64,1035
T1541,Oliver,2022-05-19 12:00:00,CPU,55,64,745
T1542,Jacob,2022-05-24 12:00:00,GPU,105,128,740
T1543,Marcus,2022-05-20 23:00:00,CPU,140,16,1155
T1544,Patrick,2022-05-20 17:00:00,GPU,70,16,1215
T1545,Kellan,2022-05-29 21:00:00,GPU,80,128,275
T1546,Lucy,2022-05-16 03:00:00,CPU,100,64,755
T1547,Camila,2022-05-21 21:00:00,GPU,60,16,360
T1548,Kelvin,2022-05-20 07:00:00,GPU,115,64,270
